,title,rating,acidity_structure,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,notes,roast_level,city,state,usd_per_oz
10,Kenya AA,93.0,9.0,8.0,9.0,8.0,9.0,"Sweetly sweet-savory. Red currant, violet, oregano, cocoa nib, cedar in aroma and cup. Sweet structure with vibrant, balanced acidity; satiny-smooth mouthfeel. The subtle finish consolidates to notes of red currant and cocoa nib.","Nyeri County, south-central Kenya","Produced by smallholding farmers of the Rumukia Farmers Cooperative Society from trees of the SL28 and SL34 varieties of Arabica, and processed at the Maganjo mill by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). AKA Coffee is a specialty nano-roaster based in Taiwan. Visit www.facebook.com/akacoffee.shop for more information.",Medium-Light,Xitun District," Taichung, Taiwan",2.16
11,Guatemala Los Santos,93.0,9.0,8.0,9.0,8.0,9.0,"Crisply sweet-tart, richly nut-toned. Pomegranate, baking chocolate, hazelnut, lime zest, cedar in aroma and cup. Sweet-tart structure with gently bright, balanced acidity; crisp, satiny mouthfeel. Quiet finish centered around sweet nut and chocolate tones.","Chimaltenango, Guatemala","Produced by smallholding farmers, from trees of the Bourbon, Caturra, Typica and Catuai varieties of Arabica, and processed by the washed method. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",Medium-Light,Sacramento, California,1.83
12,Colombia Pink Bourbon Filadelfia,95.0,9.0,9.0,9.0,9.0,9.0,"Intricate, vibrantly floral, citrusy. Lilac, tangerine, almond brittle, sage, wild honey in aroma and cup. High-toned, harmonious structure with elegantly juicy acidity; full, creamy mouthfeel. Flavor-saturated, very long finish. ","Huila Department, Colombia","Produced by Fabian Rodriquez of Finca Filadelfia entirely of the Pink Bourbon variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",Light,San Diego, California,2.6
13,Papua New Guinea Timuza Organic,92.0,8.0,8.0,9.0,9.0,8.0,"Balanced, classic, sweetly bright. Blood orange, fresh-cut cedar, almond brittle, quietly complex flowers — freesia, lavender — in aroma and cup. Crisp, sweet-tart structure with smoothly bright acidity. Plush, lightly viscous mouthfeel. Sweet almond and fresh cedar carry the rich, gently drying finish.","Eastern Highlands, Papua New Guinea","Produced by smallholding members of the Timuza Coffee Cooperative from trees of the respected Arusha variety, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Magnolia Coffee is a Charlotte-based specialty roaster whose mission is to use sustainably sourced coffees to make a difference in the lives of coffee workers and to foster a socially conscious community with cause-supporting coffees. Visit www.magnoliacoffeeco.com for more information.

 ",Light,Charlotte, North Carolina,1.42
14,Ethiopia Durato Bombe,95.0,8.0,9.0,10.0,9.0,9.0,"Massively floral, juicy, cocoa-toned. Distinct cocoa, honeysuckle, tangerine, caramel, cashew in aroma and cup. Deeply sweet, savory-edged in structure, with deep, vibrant acidity. Full, syrupy mouthfeel. The finish is sweet and rich, carrying most notes from the cup far into the long. ","Sidamo growing region, southern Ethiopia","Produced by smallholding farmers in Bombe Kebele village in the Bensa District of the Sidama Zone from selections of landrace varieties of Arabica native to Ethiopia. Processed by the natural method (sun-dried in the whole fruit). Founded by Paul Massard and Chris Nolte, Per’la focuses on meticulous sourcing and roasting fine coffees in small batches. Visit www.drinkperla.com for more information.",Light,Miami, Florida,2.0
15,Philippines Sitio Kisbong Anaerobic Natural,92.0,8.0,7.0,9.0,9.0,9.0,"Gently tart, sweetly herbaceous. Orange zest, pomegranate, cocoa nib, goat milk yogurt, cedar in aroma and cup. Sweet-tart structure with tangy acidity; full, syrupy-smooth mouthfeel. The gently drying finish centers around notes of orange zest and cedar.","Atok Benguet, northern Philippines","Produced by Kalsada Coffee from trees of the Typica, Bourbon and Garnica varieties of Arabica, and processed by the anaerobic natural method, in which whole fruit is fermented with limited oxygen before drying, also in the whole fruit. Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.",Medium-Light,San Diego, California,2.92
16,Colombia Sergio Roldan,93.0,8.0,8.0,9.0,9.0,9.0,"Sweetly tart, chocolaty. Pomegranate, baking chocolate, orange zest, almond, oak in aroma and cup. Tart-leaning structure with brisk acidity; plush, chewy mouthfeel. Crisply chocolaty finish with undertones of pomegranate and almond.","Urrao, Antioquia, Colombia","Produced by Sergio Roldan, from trees of the Colombia, Caturra and Chiroso varieties of Arabica, and processed by the natural method (dried in the whole fruit). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.",Medium-Light,San Diego,  California,2.08
17,Caramel Rocher,92.0,8.0,8.0,9.0,8.0,9.0,"Crisp, delicately fruit-forward. Pomegranate, amber, cocoa nib, marjoram, freesia in aroma and cup. Sweet-toned structure with gentle acidity; crisp, velvety mouthfeel. The finish leads with notes of amber and marjoram with floral undertones.","West Valley, Costa Rica","Grown in the West Valley region of Costa Rica and processed by the natural method (dried in the whole fruit). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit https://www.1980cafetw.com for more information.",Medium-Light,Tainan City, Taiwan,1.87
18,Karamo Ethiopia Sidama Natural G1,93.0,8.0,8.0,9.0,9.0,9.0,"Deeply fruit-toned, richly chocolaty. Dried apricot, dark chocolate, narcissus, cedar, almond in aroma and cup in aroma and cup. Sweetly tart structure with brisk acidity; full, syrupy mouthfeel. The crisp finish consolidates to notes of dried apricot, dark chocolate and cedar.","Sidama growing region, southern Ethiopia","Produced by smallholding farmers entirely of the Karamo Variety 74158, and processed by the natural method (dried in the whole fruit). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit https://www.1980cafetw.com for more information.",Medium-Light,Tainan City, Taiwan,1.87
19,Honeyed Floral,93.0,9.0,8.0,9.0,8.0,9.0,"Juicy, richly floral-toned. Lilac, cocoa nib, pink grapefruit zest, almond butter, fresh-cut oak in aroma and cup. Sweet-tart structure with bright, juicy acidity; crisply satiny mouthfeel. The engaging finish leads with notes of lilac and pink grapefruit zest, rounding to almond butter and oak in the long.","Guji Zone, Oromia Region, Southern Ethiopia","Produced by smallholding farmers largely from trees of indigenous landrace varieties of Arabica long grown in the region, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit https://www.1980cafetw.com for more information.",Light,Tainan City, Taiwan,1.87
20,Colombia Antioquia Magico,94.0,9.0,8.0,9.0,9.0,9.0,"Richly chocolaty, sweetly tart. Nectarine, dark chocolate, lemon verbena, lavender, fresh-cut oak in aroma and cup. Sweet structure with high-toned acidity; very full, satiny-smooth mouthfeel. Crisply sweet, chocolaty finish with undertones of lemon verbena and a hint of lavender.","Urrao, Antioquia Department, Colombia","Produced by Albeiro de Jesus Ramirez Aguirre of Finca El Roble entirely of the local Chiroso variety of Arabica, and processed by the washed method (fruit skin and flesh are removed before drying). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Light,Minneapolis, Minnesota,3.17
21,Chelchele Ethiopia,94.0,9.0,8.0,9.0,9.0,9.0,"Elegant, delicately aromatic, floral. Honeysuckle, cocoa nib, pink peppercorn, red plum, pomelo in aroma and cup. Sweetly tart with juicy, balanced acidity; plush, syrupy-smooth mouthfeel. Floral- and cocoa-toned finish.","Gedeb District, Gedeo Zone, southern Ethiopia",Yirgacheffe coffees like this one are largely produced from traditional Ethiopian landrace varieties of Arabica long grown in the region. This is a wet-processed or “washed” version (fruit skin and flesh are removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,Medium-Light,Madison, Wisconsin,1.58
22,Hawaii Ka‘ū Bourbon Anaerobic Natural,95.0,9.0,9.0,9.0,9.0,9.0,"Richly sweet-tart, floral and fruit-driven. Mango, cocoa nib, ginger blossom, lime zest, cedar in aroma and cup. Balanced, tart-leaning structure with vibrant, juicy acidity; lightly viscous, silky mouthfeel. Long, flavor-saturated finish centered around fruit and florals.","Ka‘ū growing region, Big Island of Hawai’i","100% Red Bourbon grown by Leo Norberte of JN Coffee Farm and processed by Miguel Meza employing a proprietary anaerobic natural process that involves inoculation with wine yeast strains. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Medium-Light,Minneapolis, Minnesota,7.5
23,Trident Carmo de Minas,90.0,8.0,7.0,8.0,8.0,9.0,"Sweetly nut-toned. Cashew, caramel, cedar, orange zest, lily in aroma and cup. Sweet structure with brisk acidity; lightly satiny mouthfeel. The finish centers around notes of cashew and cedar with caramel undertones.","Carmo de Minas growing region, northeastern Minas Gerais State, Brazil","Trident’s tagline is “All Ahead. All Together.” Coffees are sold online, in its TapRooms, and in +1200 locations around the country. Visit www.tridentcoffee.com for more information.",Medium-Light,San Diego, California,1.5
24,Taiwan Natural Alishan Ching-Ye Farm,94.0,9.0,8.0,9.0,9.0,9.0,"Deep-toned, intricately balanced. Dried mulberry, dark chocolate, magnolia, sandalwood, pink peppercorn in aroma and small cup. Juicy-sweet structure with high-toned acidity; very full, syrupy mouthfeel. The resonant finish consolidates to notes of dried mulberry and pink peppercorn.","Alishan, Chia-Yi, Taiwan",Produced at Ching-Ye farm in Taiwan entirely of the SL34 variety of Arabica and processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,Medium-Light,Chia-Yi, Taiwan,4.54
25,Ethiopia Honey Yirgacheffe Idido G1,95.0,9.0,9.0,9.0,9.0,9.0,"Delicate, complex, multi-layered. Cocoa nib, orange blossom oil, hop flowers, tangerine, cedar in aroma and cup. Richly sweet-tart structure with citrusy acidity; full, syrupy-smooth mouthfeel. The floral-toned, citrusy finish is supported by cocoa nib and cedar notes.","Gedeo Zone, SNNP Region, southern Ethiopia","Produced by small-holding farmers largely from trees of indigenous landrace varieties of Arabica long grown in the region, and processed by the honey method (skins are removed but at least some of the sticky fruit flesh is allowed to dry on the beans). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",Medium-Light,Chia-Yi, Taiwan,1.44
26,Canet Musician Series Mozart Raisin Honey,92.0,8.0,8.0,9.0,9.0,9.0,"Gently fruit-forward. Raspberry, honey, almond butter, magnolia, grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The sweet-toned finish centers around notes of raspberry, magnolia and honey. 
","Tarrazu growing region, Costa Rica","Produced by smallholding members of Asocafe Canet entirely of the Caturra variety of Arabica, and processed by the honey method, in which the skins are removed from the fruit but some of the fruit flesh (mucilage) is allowed to dry on the beans. Cafe Fugu is a nano-roaster and coffee shop based in Taipei, Taiwan. Visit www.facebook.com/cafefuguroasters for more information.",Medium-Light,Taipei City, Taiwan,2.97
27,Ethiopia Anasora Extended Natural Special Lot,94.0,9.0,8.0,9.0,9.0,9.0,"Juicy, bright, fruit- and floral-toned, savory-edged. Shitake mushroom, dark chocolate, grape candy, wisteria, amber in aroma and cup. Sweet-tart structure with cola-like acidity; plush, syrupy mouthfeel. Long, lingering, flavor-saturated finish.","Guji Zone, Oromia Region, Southern Ethiopia","Produced by smallholding farmers largely from local landrace varieties of Arabica, and processed at the Anasora Washing Station owned by Isreal Degefa utilizing a proprietary anaerobic natural method (whole fruit is fermented with limited oxygen before drying). Quartet Kaffe is an artisan roastery in Taiwan founded in 2018, dedicated to pursuing coffee performance art and offering unique specialty coffee. Visit www.facebook.com/QuartetKaffe for more information.",Medium-Light,Taipei, Taiwan,4.15
28,Panama Hacienda La Esmeralda Super Mario Geisha Yeast Washed,95.0,9.0,9.0,9.0,9.0,9.0," Richly aromatic, complex. Star jasmine, cocoa nib, bergamot, apricot, sandalwood in aroma and cup. Delicately bright structure with vibrantly juicy acidity; silky, viscous mouthfeel. Resonant, long flavor-laden finish with notes of star jasmine and cocoa nib supported by apricot undertones.","Boquete growing region, Panama","Coffee from trees of the botanical variety Geisha (also Gesha) grown on Hacienda La Esmeralda in Panama first introduced this extraordinary variety of Arabica to the world. With its bold, boat-shaped beans and distinctive floral and crisply cocoa-toned cup, the Geisha/Gesha continues to be one of the world’s most celebrated and sought-after coffee varieties, and the Esmeralda versions remain among the most authentic. This is a wash-processed version. Quartet Kaffe is an artisan roastery in Taiwan founded in 2018, dedicated to pursuing coffee performance art and offering unique specialty coffee. Visit www.facebook.com/QuartetKaffe for more information.",Medium-Light,Taipei, Taiwan,19.64
29,Dark Texas Twist,91.0,8.0,7.0,8.0,9.0,9.0,"Sweetly roast-toned, richly chocolaty. Baking chocolate, scorched mesquite, lily, almond brittle, date in aroma and cup. Bittersweet structure with creamy mouthfeel; the crisp, gently drying finish centers on notes of baking chocolate, lily and mesquite.",Ethiopia; Sumatra,"Located in Kountze, Texas, 90 miles northeast of Houston, Brand 425 is a small-batch coffee roaster committed to “Texas-style” craft coffee. This blend is comprised of coffees from Sumatra and Ethiopia. Visit www.brand425.com for more information.",Medium,Kountze, Texas,1.19
30,El Salvador Finca La Esperanza,94.0,9.0,8.0,9.0,9.0,9.0,"Gently sweet-tart, multi-layered. Dried raspberry, honeysuckle, almond butter, cocoa nib, honey in aroma and cup. Sweet-tart structure with winey acidity; full, syrupy mouthfeel. Finish consolidates to notes of almond butter and cocoa nib with undertones of dried raspberry. ","Apaneca-Ilamatepec, El Salvador","Produced at Finca La Esperanza entirely of the Red Bourbon variety of Arabica, and processed by the natural method (dried in the whole fruit). Interpretation Coffee is a Taiwan-based nano-roaster that specializes in microlot coffees. Visit www.interpretationcoffee.com. ",Medium-Light,Chia-Yi, Taiwan,1.74
31,Rider Blend,91.0,8.0,8.0,8.0,8.0,9.0,"Crisply sweet, intentionally fermenty. Whiskey barrel, cocoa powder, raisin, fresh-cut fir, pistachio in aroma and cup. Sweet-savory structure with brisk acidity; velvety mouthfeel. Sweetly fermenty finish with notes of whiskey cask and fresh fir.",Sumatra; Colombia,"A blend of coffees from Sumatra and Colombia, aged in whiskey casks. Desolate Café is a specialty roaster in Nantou, Taiwan. The shop offers coffee, homemade desserts, and other foods. For more information, visit www.desolatecoffee.com.",Medium-Light,Nantou, Taiwan,2.08
32,Ethiopia Bidimoo Chelelektu Natural,92.0,9.0,8.0,8.0,8.0,9.0,"Bittersweet, cleanly fruit-toned. Dark chocolate, raspberry, lime zest, hazelnut butter, rhododendron in aroma and cup. Deeply sweet structure with juicy, bright acidity; lightly satiny mouthfeel. The finish is carried by notes of dark chocolate and raspberry.","Yirgacheffe growing region, southern Ethiopia","The Yirgacheffe region produces distinctive coffees from traditional landrace varieties of Arabica long grown in the area. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Desolate Café is a specialty roaster in Nantou, Taiwan. The shop offers coffee, homemade desserts, and other foods. For more information, visit www.desolatecoffee.com.",Light,Nantou, Taiwan,2.49
33,Philippines Sitio Belis Garnica,93.0,9.0,8.0,9.0,8.0,9.0,"Balanced, richly sweet-tart. Apricot, cocoa nib, almond, lemon verbena, cedar in aroma and cup. Sweet structure with bright, juicy acidity; crisp, satiny mouthfeel. The finish consolidates to notes of cocoa-toned almond and lemon verbena.","Atok Benguet, northern Philippines","Produced by Kalsada Coffee entirely of the Garnica variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.",Medium-Light,San Diego, California,2.5
34,Guatemala El Milagro Bourbon Especial,95.0,9.0,9.0,9.0,9.0,9.0,"High-toned, chocolaty and richly aromatic. Malted chocolate, black cherry, cashew butter, pink grapefruit, toffee in aroma and cup. Brightly sweet structure with lively but restrained acidity; plush, creamy mouthfeel. The integrated finish carries over all the aroma and flavor notes from the cup.","Huehuetenango, Guatemala","Produced by Juan Villatoro of Finca El Milagro, entirely of the Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-JAVA for more information.",Medium-Light,Topeka, Kansas,2.33
35,Ethiopia Dur Feres,91.0,8.0,8.0,8.0,8.0,9.0,"Gently fruit-toned, richly wood-framed. Pie cherry, balsa wood, maple syrup, lemon balm, grapefruit zest in aroma and cup. Sweet structure with gentle, round acidity; crisp, silky mouthfeel. Wood-framed finish with tart cherry and grapefruit suggestions.","Guji Zone, Oromia Region, southern Ethiopia","Dur Feres, which means ""wild horse"" in Amharic, is a blend of green coffees from several southern Ethiopian wet mills or washing stations, including Bombe, Qonqona, Shantawene, and Damo, all processed by the natural method (coffee is dried in the whole fruit). Drink Coffee Do Stuff operates a roastery in Truckee, California and a coffee shop in nearby Incline Village, Nevada. Visit www.drinkcoffeedostuff.com for more information.",Light,Truckee, California,1.83
36,El Salvador Las Delicias Pacamara,92.0,9.0,8.0,8.0,8.0,9.0,"Crisply chocolaty, rich-toned. Baking chocolate, pomegranate, gingerbread, Meyer lemon zest, pink peppercorn in aroma and cup. Savory-sweet structure with bright, lively acidity; crisp yet velvety mouthfeel. The finish consolidates to notes of pomegranate and pink peppercorn.","Atiquizaya, Apaneca-Ilamatepec Mountains, El Salvador","Produced by the Menendez Family of Menendez Estates entirely of the Pacamara variety of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed from the beans before drying). Backporch Coffee Roasters is a specialty roaster based in Bend, Oregon. Visit www.backporchcoffeeroasters.com for more information.",Medium-Light,Bend, Oregon,1.58
37,Ethiopia Guji Kercha G2,92.0,8.0,8.0,9.0,8.0,9.0,"Delicately sweet-tart. Green grape, cocoa powder, bay leaf, fresh-cut fir, brown sugar in aroma and cup. Sweet-tart structure with brisk acidity; crisp, velvety mouthfeel. The gently drying finish leads with notes of cocoa powder and brown sugar, with hints of sweet herbs in the long.","Guji Zone, Oromia Region, Southern Ethiopia","Produced in the distinguished Guji growing region, nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions, largely from distinctive indigenous landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Breck Coffee Roasters is a specialty roaster in Breckenridge, Colorado committed to high quality coffee and social and environmental responsibility. Visit www.breckenridgecoffeeroasters.com for more information.

 ",Medium-Light,Breckenridge, Colorado,1.67
38,Tanzania Peaberry,92.0,9.0,8.0,8.0,8.0,9.0,"Sweet-toned, pleasingly floral. Baking chocolate, honeysuckle, hazelnut, fresh-cut fir, cane sugar in aroma and cup. Sweet structure with brisk acidity; full, velvety mouthfeel. Crisp, sweet, wood-framed finish with undertones of baking chocolate and hazelnut.",Tanzania,"This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops a single, oval bean rather than the usual pair of flat-sided beans. Perhaps arbitrarily, Tanzania is particularly associated with its peaberry grades. Pink Elephant Coffee, with a cafe in Park City, Utah and a roastery in nearby Heber City, crafts coffees for Western adventurers, and commits a portion of sales proceeds to conservation-minded nonprofits. Visit www.pinkelephantcoffee.com for more information.",Medium-Light,Park City, Utah,1.75
39,Glow Seasonal Reserve Blend,92.0,8.0,8.0,9.0,8.0,9.0,"Sweetly-tart, fruit-toned. Dried raspberry, baking chocolate, clove, lime zest, fresh-cut oak in aroma and cup. Sweet-tart structure with brisk acidity; lightly satiny mouthfeel. Spice-toned finish with undercurrents of berries and crisp chocolate.",Ethiopia,"A seasonally rotating blend of two organic-certified Ethiopia coffees, one washed and one natural-processed. Big Creek Coffee Roasters is a small, quality-oriented batch roaster located in Montana’s Bitterroot Valley. Visit www.bigcreekcoffeeroasters.com for more information.",Light,Hamilton, Montana,1.58
